block_num,token_x,token_y,sender,opt,opt_time,amount
4535259,STC::STC,FAI::FAI,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022/3/5 10:05,"(592139737311, 60000000000)"
4535260,STC::STC,STAR::STAR,0x1653056a78c051ddcf797318ae64beef,add_liquidity,2022/3/5 10:05,"(4985080281, 24899335115)"
4535273,STC::STC,STAR::STAR,0xe8983a9f192f1777f0d0bae1d1deb0e3,add_liquidity,2022/3/5 10:06,"(7385032281088, 39536085700604)"
4535274,STC::STC,STAR::STAR,0x581367e9e962ee249fbd6e9ef3e0ff99,add_liquidity,2022/3/5 10:06,"(1419620691873, 7600000000000)"
4535280,STC::STC,FAI::FAI,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022/3/5 10:07,"(59213973731, 6000000000)"
4535291,STC::STC,STAR::STAR,0x96e199f07e3f563629038010824537c9,add_liquidity,2022/3/5 10:08,"(1414286873153, 7654000000000)"
4535291,STC::STC,STAR::STAR,0xe8983a9f192f1777f0d0bae1d1deb0e3,add_liquidity,2022/3/5 10:08,"(1301660909632, 7044477885957)"
4535307,STC::STC,STAR::STAR,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022/3/5 10:09,"(281874338405, 1530000000000)"
4535308,STC::STC,FAI::FAI,0x08bf0cd79c484514cca26af5277f2310,add_liquidity,2022/3/5 10:09,"(4504570213203, 452786411494)"
4535316,STC::STC,STAR::STAR,0x5a5bdf7587386ed006fd17d375e54ce6,add_liquidity,2022/3/5 10:10,"(800000000000, 4345823686668)"
4535326,STC::STC,FAI::FAI,0xfaadbe019f379e850e5aceb4a68c4aaa,add_liquidity,2022/3/5 10:11,"(8438349138769, 848198528303)"
4535331,STC::STC,FAI::FAI,0x40a23a5490466de08ee93f1babe93a9d,add_liquidity,2022/3/5 10:11,"(3170999837108, 318739761872)"
4535331,STC::STC,STAR::STAR,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022/3/5 10:11,"(912523200459, 5000000000000)"
4535339,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022/3/5 10:12,"(20290473607701, 1969776316383)"
4535342,STC::STC,STAR::STAR,0x35312da024d45453b7f79d052f1b83aa,add_liquidity,2022/3/5 10:12,"(1825046400, 10000000000)"
4535351,STC::STC,STAR::STAR,0x0a6fbf3d68c68a0676e5ae90f180668a,add_liquidity,2022/3/5 10:13,"(18057033381, 100017308795)"
4535369,STC::STC,FAI::FAI,0xc664acb6f912d8d2e4e19a965e385c63,add_liquidity,2022/3/5 10:14,"(41206500100135, 4000280602000)"
4535385,STC::STC,FAI::FAI,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,add_liquidity,2022/3/5 10:15,"(411832509829, 39980236039)"
4535391,STC::STC,STAR::STAR,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022/3/5 10:16,"(1795473860600, 10000000000000)"
4535393,STC::STC,FAI::FAI,0x91ac0ee4f6421421b07cd0d0d9d0ca73,add_liquidity,2022/3/5 10:17,"(44304386981018, 4301019969980)"
4535397,STC::STC,STAR::STAR,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022/3/5 10:17,"(538642158, 3000000000)"
4535398,STC::STC,STAR::STAR,0x535e864450f140b6ba4cebefc0827243,add_liquidity,2022/3/5 10:17,"(175894650446, 979655868606)"
4535399,STC::STC,FAI::FAI,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022/3/5 10:17,"(5158888646, 500000000)"
4535400,STC::STC,FAI::FAI,0xf77d889d6677bf38f23b5584c69d1c3f,add_liquidity,2022/3/5 10:17,"(997817327942, 96708554526)"
4535400,STC::STC,STAR::STAR,0x5d2b0cd44dd24ab3c4f490dad0f1189d,add_liquidity,2022/3/5 10:17,"(989306097190, 5510000000000)"
4535402,STC::STC,STAR::STAR,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022/3/5 10:18,"(3590947721200, 20000000000000)"
