block_num,txn_hash,token_x,token_y,sender,opt,opt_time,amount
4540149,0x8b5a8ee15d2338bcec616e4736efd556c8fcf05e5f4c01bdc19aedf0f571e9dd,STC::STC,FAI::FAI,0xb01a3b6cd6a2beb1de4198e9c3f38ab4,remove_liquidity,2022-03-05 16:57:15,24000000000
4540179,0x6ab703974fe975b55a8cf0d4a3dbda147a68de5ef8a0e015c0d5ef5f6a2e7432,STC::STC,STAR::STAR,0x9749fb17f65fe5f5b83ded7b69436582,add_liquidity,2022-03-05 16:59:52,"(71888345471, 259174365630)"
4540242,0x3a6c8b0a7c0bae7f8b2b9f4a2b7d26564b675cb3a717a092970bde03875cd796,STC::STC,FAI::FAI,0x209e17afae34552855cf518487e065c2,add_liquidity,2022-03-05 17:05:57,"(449500558944, 40520000000)"
4540242,0x08ec0586df4674c669ee6a980774bdc34669f2f4f1a3547dfc770f1920e8e1dd,STC::STC,FAI::FAI,0x2c58cace2f326c8f833aa4d072ebebc3,add_liquidity,2022-03-05 17:05:57,"(37395462073004, 3370994969962)"
4540282,0x24ade83240f90a4a0c6f7e6a836af30433639510a4e5dfe5a546241ba550f0a9,STC::STC,FAI::FAI,0x2c58cace2f326c8f833aa4d072ebebc3,add_liquidity,2022-03-05 17:09:03,"(37458372349293, 3376665984924)"
4540335,0xa69a4b35b2b3b1f8f76f288d40e16a6581e41d6a9403cec7d4d2d8de5539688a,STC::STC,STAR::STAR,0xe355f99ec18b26ac9251e6deb57c09ac,add_liquidity,2022-03-05 17:13:28,"(384283602417, 1406214130477)"
4540409,0xef65b9b45d125b4c77b07418441aca17b9bcd8133491af01b5a7f4559afe447c,STC::STC,STAR::STAR,0xe355f99ec18b26ac9251e6deb57c09ac,add_liquidity,2022-03-05 17:19:48,"(44868253881, 164163218751)"
4540552,0xdcfca40d31adc1ef2bb35487c805f3843fe7a5146b61427b173ccf8f5440185a,STC::STC,STAR::STAR,0x005e035df2ad0b1e5128da097d028f2c,add_liquidity,2022-03-05 17:31:38,"(498901655503, 1822438765902)"
4540642,0x6a9d24e1b3db4e9bcc52533880ede3ea2b58397cb1212f5669d4218c0aa87c69,STC::STC,FAI::FAI,0xfaadbe019f379e850e5aceb4a68c4aaa,add_liquidity,2022-03-05 17:39:11,"(13311961271811, 1200000000000)"
4540695,0x2275165cb9de82b83e13e9971b91dc19fc067acefc4b7822d257fb6f648886a6,STC::STC,STAR::STAR,0x4d19e39322e77b0584bff62f6cd1f5db,add_liquidity,2022-03-05 17:43:46,"(2090666993910, 7637001269213)"
4540709,0x028f9b8521b37f9aaf1e025d194ba63f0448b75d82dbf9e8009e4b1567bd6ce8,STC::STC,STAR::STAR,0x4d19e39322e77b0584bff62f6cd1f5db,add_liquidity,2022-03-05 17:45:06,"(2095089108274, 7653154818827)"
4540737,0x3c6aa70ed6a7c3557a0b31748a5ab7cefbcd2f385a809c9de1c0f47e959905b6,STC::STC,STAR::STAR,0x4d19e39322e77b0584bff62f6cd1f5db,add_liquidity,2022-03-05 17:47:01,"(3462304988286, 12651777223406)"
4540777,0x57d4c034b604ab58d143fd600eb32cb154a142e0f8f3fed6994fa7385bc07fff,STC::STC,STAR::STAR,0x3bc807ebad5355bef52dd0c915ecd8ea,add_liquidity,2022-03-05 17:50:27,"(15305181649766, 53378249571079)"
4540930,0xaf796079e967bfa679eb9e35de09f4ae4c79d5bdc797430560fd18b6eafe0325,STC::STC,FAI::FAI,0x76a45fbf9631f68eb09812a21452e38e,add_liquidity,2022-03-05 18:03:23,"(42487343059198, 3830000000000)"
4540938,0xc00c53c20da0de6aab51e2905187b879a9c228cb722182748677440d02fa6889,STC::STC,STAR::STAR,0x890c7d48c047d01dea2a06b9dd025032,add_liquidity,2022-03-05 18:03:57,"(28043364084, 98144010703)"
4540960,0x7cf03a9bd027a679044c2e7b62cab9bb1a0a94d89d620011a17c301bf2a783b7,STC::STC,STAR::STAR,0xd290d389077f6ba404520cf2a40a6f46,add_liquidity,2022-03-05 18:05:55,"(24627273013, 86188637671)"
4540981,0x6613691919f15e09f11a8744ca80a68abf3f7f79fe5c98d4626881efc52ae8e8,STC::STC,STAR::STAR,0x6bf40816f188ba5a49c523d579d7442b,add_liquidity,2022-03-05 18:07:30,"(21227144727, 73572893637)"
4540986,0x00eaf7dd6928f0de43153bbb63742b850db189ea0c116e67b47c1ee7faeed8ba,STC::STC,STAR::STAR,0x91ac0ee4f6421421b07cd0d0d9d0ca73,add_liquidity,2022-03-05 18:07:44,"(3205698323138, 11111629146704)"
4534134,0xe70c280593a1c495003deb19491a3c87c5304ca56b968b5e256607540bb9bba4,STC::STC,STAR::STAR,0x298019b7255d997a73dc933a6b8ff514,remove_liquidity,2022-03-05 08:27:12,532420766
4534185,0xef7cc403ca77157a1eb46f3980b91cc28c0f91b88c4ba32c0ae97e3a48f793ff,STC::STC,FAI::FAI,0x0c357315f9351540114596324f41006e,add_liquidity,2022-03-05 08:32:28,"(963124780000, 100000000000)"
4534214,0x69a946fed6c4a52ce0c4b3285e5f519cef41b718234d841847e68c3440a8593d,STC::STC,FAI::FAI,0x8769fe40ff8c86661e1a47b88017e7c5,remove_liquidity,2022-03-05 08:34:53,2061424144357
4534279,0x218b4a94f9d72ffb462fa08c517559e27ae464fbf4ac70b7647f2041a5177449,STC::STC,FAI::FAI,0x0c357315f9351540114596324f41006e,add_liquidity,2022-03-05 08:40:41,"(963124780000, 962161714439264)"
4534406,0x098e95e3fd1d2fb65eb25ccf7bca1a9c7b69fe0e46c47c239448fdc3c6dec8c1,STC::STC,FAI::FAI,0x5e3596e11c09fb16790e8310d8e3bff1,remove_liquidity,2022-03-05 08:51:51,5526593782679
4534421,0x33f5a4ec5207f8c65f0bfaef8ccbcc8946e102ab67c65a474ffb89be42d2562c,STC::STC,STAR::STAR,0xb9396108e5d78320e9944e780a3329fa,remove_liquidity,2022-03-05 08:52:59,20000000
4534480,0x9915808e9ad3512e9e0a5996c99ac392c95972b4752f5d021b4837510183a1bc,STC::STC,FAI::FAI,0x0d735c4ba0f540cbb287312f3e137596,remove_liquidity,2022-03-05 08:58:05,123478564470
4534498,0x4c1d43db466639ee6ce154ef84fc8042b6137b9583865f3ea8c40e076c89b009,STC::STC,STAR::STAR,0x8c109349c6bd91411d6bc962e080c4a3,add_liquidity,2022-03-05 09:00:01,"(180000000000000, 179900000000000)"
4534530,0x301672982ff674de5c135c6d808bf103a31974a77960b276caf3f7118b6cf129,STC::STC,STAR::STAR,0x8c109349c6bd91411d6bc962e080c4a3,remove_liquidity,2022-03-05 09:03:06,4449718092
4534601,0xb01466a15720a3c101cc184542313bb61644aeb6b29c64cca458846a390231f9,STC::STC,STAR::STAR,0x8c109349c6bd91411d6bc962e080c4a3,remove_liquidity,2022-03-05 09:08:44,56908162747006
4534625,0xd89e2a41e3051f6a7beed6c55a39589f06a1f54ed858325b101a376ad6ae0041,STC::STC,STAR::STAR,0x8c109349c6bd91411d6bc962e080c4a3,add_liquidity,2022-03-05 09:10:39,"(180000000000000, 1799000000000000)"
4534665,0x8e324e249eb4e89fe402d5c8eb9df2b58a672965b54f8b1304282378721ec600,STC::STC,STAR::STAR,0x8c109349c6bd91411d6bc962e080c4a3,remove_liquidity,2022-03-05 09:14:35,525237730767970
4534672,0x6e3c3eee392e1014feea26e85798910b3c84e13c8cf6185c72e39fd96ba9afe1,STC::STC,STAR::STAR,0xc2d50b7909392faa2a7b353675ce8ad9,add_liquidity,2022-03-05 09:15:17,"(2179309971649, 18055645835928)"
4534720,0x16b2c4ea6a1d9075f2b09bbe956515757cdde9341e69d9af64a0a30b4e17d2f2,STC::STC,FAI::FAI,0x40a23a5490466de08ee93f1babe93a9d,add_liquidity,2022-03-05 09:19:33,"(33324117401, 3460000000)"
