sender,weight,latest_time,actual_gain,expect_gain,remedy_gain
0x5e3596e11c09fb16790e8310d8e3bff1,5559629433034,2022-03-05 09:57:00,4.990446584584375,49.904465845843745,48.73072727285858
0x40a23a5490466de08ee93f1babe93a9d,2101351092269,2022-03-05 10:12:00,1.9733059590220325,19.733059590220325,20.925903123317617
0x8769fe40ff8c86661e1a47b88017e7c5,4256139630493,2022-03-05 10:03:00,3.892768799579636,38.92768799579636,39.32308882526784
0x3b990f9b6f9e6175e9f9535f9fa28f50,4751992863356,2022-03-05 10:00:00,4.151210889984533,41.51210889984533,39.99378390802623
0x0d735c4ba0f540cbb287312f3e137596,324749563296,2022-03-05 09:56:00,0.2677414292792301,2.6774142927923013,2.4096728635130713
0xbfee7b54e271648e93eb23b4e71a4f50,32415702961546,2022-03-05 10:38:00,28.688993687236493,286.88993687236496,384.1319060922599
0x9749fb17f65fe5f5b83ded7b69436582,0,2022-03-05 10:34:00,1.3140252705980013,13.140252705980014,23.652454870764025
0x2370df831df9220a9814f484893c97fe,6512006077573,2022-03-05 10:00:00,5.287817189693424,52.87817189693424,47.59035470724082
0x0a6fbf3d68c68a0676e5ae90f180668a,0,2022-03-05 12:40:00,0.6134935740346085,6.1349357403460845,11.165068596224396
0xc664acb6f912d8d2e4e19a965e385c63,28536598851387,2022-03-05 10:17:00,26.980817917249833,269.80817917249834,290.6901625715094
0x08bf0cd79c484514cca26af5277f2310,0,2022-03-05 12:17:00,0.6367604912137871,6.367604912137871,11.651680876292478
0xe04f76149478e91c2f87a8fc71395de2,18000000000,2022-03-05 10:08:00,0.014168182881725336,0.14168182881725336,0.12751364593552802
0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,26649518065745,2022-03-05 11:16:00,15.513509972768093,155.1350997276809,142.1054634671483
0xfaadbe019f379e850e5aceb4a68c4aaa,0,2022-03-05 13:05:00,1.4216751434727883,14.216751434727882,50.88274525127026
0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,128306498993,2022-03-05 10:16:00,0.09779932717357252,0.9779932717357253,0.8801939445621527
0x91ac0ee4f6421421b07cd0d0d9d0ca73,13791734141827,2022-03-05 10:17:00,10.469593769196265,104.69593769196265,94.22634392276639
0xf77d889d6677bf38f23b5584c69d1c3f,310615545021,2022-03-05 10:18:00,0.23482838318109997,2.3482838318109995,2.1134554486298995
0x5d2b0cd44dd24ab3c4f490dad0f1189d,0,2022-03-05 12:32:00,0.6236023169554911,6.236023169554911,11.22484170519884
0x99a2babc0cebd310720e887488a249e2,3091602195948,2022-03-05 10:24:00,2.279570776988839,22.79570776988839,20.516136992899554
0x890c7d48c047d01dea2a06b9dd025032,2274377659533,2022-03-05 10:28:00,1.6486923757165435,16.486923757165435,14.838231381448892
0xd290d389077f6ba404520cf2a40a6f46,2274377659533,2022-03-05 10:30:00,1.6345405098305643,16.345405098305644,14.71086458847508
0x581367e9e962ee249fbd6e9ef3e0ff99,1630820031541,2022-03-05 10:32:00,1.1618836688577865,11.618836688577865,10.456953019720078
0x6bf40816f188ba5a49c523d579d7442b,2283148044158,2022-03-05 10:33:00,1.619533917465078,16.19533917465078,14.575805257185701
0x49d57f18095a3efab174a2ccbc225d14,3387288960333,2022-03-05 10:37:00,2.3605945102695163,23.605945102695163,21.245350592425645
0xb01a3b6cd6a2beb1de4198e9c3f38ab4,6924645103860,2022-03-05 11:03:00,4.357374135776345,43.57374135776346,40.04200644385285
0x16c18267bc7066489b300ea431c08ee9,0,2022-03-05 12:31:00,0.010309913155910106,0.10309913155910107,0.18557843680638192
0x236e3246c470de88dcf2657579d0ad60,225166607190009,2022-03-05 10:50:00,147.8112762999372,1478.1127629993719,1330.3014866994347
0x61946b015582a4d72d26d15d7af78cc0,4026892656119,2022-03-05 10:59:00,2.530710984318858,25.30710984318858,22.776398858869722
0x5838b8241c7f85e8d1445ff0154366c3,2304319924234,2022-03-05 11:13:00,1.3477885172717494,13.477885172717494,12.130096655445744
0xc0f4f25c4b2f453f52d66f23e54f8a2f,2304319976037,2022-03-05 11:16:00,1.3262812835141533,13.262812835141533,11.936531551627379
0xe10d2a152e9cb36e1d4d4a5edbdc39eb,2342281410273,2022-03-05 11:17:00,1.3408432881298344,13.408432881298344,12.06758959316851
0x145667af479ac518c0ed88ac7188f5bb,2342281410273,2022-03-05 11:20:00,1.3189817127798915,13.189817127798914,11.870835415019023
