block_num,token_x,token_y,sender,opt,opt_time,amount
4535760,STC::STC,FAI::FAI,0x16c18267bc7066489b300ea431c08ee9,add_liquidity,2022-03-05 10:47:49,"(106511522319, 10000000000)"
4535765,STC::STC,FAI::FAI,0x236e3246c470de88dcf2657579d0ad60,add_liquidity,2022-03-05 10:48:23,"(734929504002250, 69000000000000)"
4535822,STC::STC,FAI::FAI,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022-03-05 10:53:13,"(2130230446394, 200000000001)"
4535896,STC::STC,FAI::FAI,0x61946b015582a4d72d26d15d7af78cc0,add_liquidity,2022-03-05 10:59:12,"(13143521854185, 1234000000000)"
4535936,STC::STC,FAI::FAI,0xb01a3b6cd6a2beb1de4198e9c3f38ab4,add_liquidity,2022-03-05 11:02:43,"(19109430327558, 1763041953913)"
4535994,STC::STC,FAI::FAI,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022-03-05 11:07:26,"(10188563277269, 940000000001)"
4536054,STC::STC,FAI::FAI,0x5838b8241c7f85e8d1445ff0154366c3,add_liquidity,2022-03-05 11:12:33,"(7587239217377, 700000000000)"
4536091,STC::STC,FAI::FAI,0xc0f4f25c4b2f453f52d66f23e54f8a2f,add_liquidity,2022-03-05 11:15:41,"(7587241266735, 700000000000)"
4536091,STC::STC,FAI::FAI,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022-03-05 11:15:41,"(74788521057830, 6900000000001)"
4536112,STC::STC,FAI::FAI,0xe10d2a152e9cb36e1d4d4a5edbdc39eb,add_liquidity,2022-03-05 11:17:16,"(7839603846511, 700000000000)"
4536112,STC::STC,FAI::FAI,0x914a322d5a180e3a0e8f2c076b1e4751,add_liquidity,2022-03-05 11:17:16,"(38511700097511, 3438718409254)"
4536142,STC::STC,FAI::FAI,0x145667af479ac518c0ed88ac7188f5bb,add_liquidity,2022-03-05 11:19:38,"(7839603846511, 700000000000)"
4537660,STC::STC,FAI::FAI,0x2c58cace2f326c8f833aa4d072ebebc3,add_liquidity,2022-03-05 13:27:26,"(3587789550402, 323049995918)"
