block_num,sender,opt,opt_time,token_x,token_y,amount
4540214,0x2370df831df9220a9814f484893c97fe,harvest,2022-03-05 17:03:27,STC::STC,STAR::STAR,236262261906
4540243,0x2c58cace2f326c8f833aa4d072ebebc3,stake,2022-03-05 17:06:00,STC::STC,FAI::FAI,1076437480730
4540248,0x209e17afae34552855cf518487e065c2,stake,2022-03-05 17:06:14,STC::STC,FAI::FAI,134939581696
4540255,0x16c18267bc7066489b300ea431c08ee9,harvest,2022-03-05 17:06:44,STC::STC,FAI::FAI,14742819
4540286,0x2c58cace2f326c8f833aa4d072ebebc3,stake,2022-03-05 17:09:28,STC::STC,FAI::FAI,11226077274364
4540299,0x2c58cace2f326c8f833aa4d072ebebc3,stake,2022-03-05 17:10:28,STC::STC,FAI::FAI,11244962871274
4540359,0x16c18267bc7066489b300ea431c08ee9,harvest,2022-03-05 17:15:13,STC::STC,STAR::STAR,1746018357
4540365,0xe355f99ec18b26ac9251e6deb57c09ac,stake,2022-03-05 17:15:38,STC::STC,STAR::STAR,733282723903
4540419,0xe355f99ec18b26ac9251e6deb57c09ac,stake,2022-03-05 17:20:30,STC::STC,STAR::STAR,85610547004
4540556,0x005e035df2ad0b1e5128da097d028f2c,stake,2022-03-05 17:32:07,STC::STC,STAR::STAR,951159316231
4540647,0xfaadbe019f379e850e5aceb4a68c4aaa,stake,2022-03-05 17:39:24,STC::STC,FAI::FAI,3996236378063
4540682,0xc664acb6f912d8d2e4e19a965e385c63,harvest,2022-03-05 17:42:35,STC::STC,FAI::FAI,197297832784
4540699,0x2370df831df9220a9814f484893c97fe,harvest,2022-03-05 17:44:10,STC::STC,STAR::STAR,384299337477
4540703,0x16c18267bc7066489b300ea431c08ee9,harvest,2022-03-05 17:44:40,STC::STC,STAR::STAR,3212323467
4540753,0x4d19e39322e77b0584bff62f6cd1f5db,stake,2022-03-05 17:48:31,STC::STC,STAR::STAR,14581530576248
4540782,0x3bc807ebad5355bef52dd0c915ecd8ea,stake,2022-03-05 17:50:54,STC::STC,STAR::STAR,28510699557631
4540928,0x890c7d48c047d01dea2a06b9dd025032,harvest,2022-03-05 18:03:09,STC::STC,FAI::FAI,16616910796
4540930,0x890c7d48c047d01dea2a06b9dd025032,harvest,2022-03-05 18:03:23,STC::STC,STAR::STAR,51716435780
4540938,0x76a45fbf9631f68eb09812a21452e38e,stake,2022-03-05 18:03:57,STC::STC,FAI::FAI,12754654439992
4540942,0x890c7d48c047d01dea2a06b9dd025032,stake,2022-03-05 18:04:19,STC::STC,STAR::STAR,52330210080
4540947,0xd290d389077f6ba404520cf2a40a6f46,harvest,2022-03-05 18:04:48,STC::STC,STAR::STAR,57294336989
4540947,0xd290d389077f6ba404520cf2a40a6f46,harvest,2022-03-05 18:04:48,STC::STC,FAI::FAI,16653488196
4540965,0xd290d389077f6ba404520cf2a40a6f46,stake,2022-03-05 18:06:12,STC::STC,STAR::STAR,45955626672
4540973,0x6bf40816f188ba5a49c523d579d7442b,harvest,2022-03-05 18:06:55,STC::STC,STAR::STAR,56806789634
4540976,0x6bf40816f188ba5a49c523d579d7442b,harvest,2022-03-05 18:07:12,STC::STC,FAI::FAI,16766104002
4540990,0x6bf40816f188ba5a49c523d579d7442b,stake,2022-03-05 18:07:55,STC::STC,STAR::STAR,39417871499
4540993,0x91ac0ee4f6421421b07cd0d0d9d0ca73,stake,2022-03-05 18:08:41,STC::STC,STAR::STAR,5953235603688
4540995,0x5838b8241c7f85e8d1445ff0154366c3,harvest,2022-03-05 18:09:03,STC::STC,STAR::STAR,57244493875
4534896,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 09:34:54,STC::STC,STAR::STAR,30
4534899,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 09:34:58,STC::STC,FAI::FAI,10
4534930,0x8c109349c6bd91411d6bc962e080c4a3,activation,2022-03-05 09:37:39,STC::STC,STAR::STAR,"(True, b'')"
4534934,0x8c109349c6bd91411d6bc962e080c4a3,activation,2022-03-05 09:37:48,STC::STC,FAI::FAI,"(True, b'')"
4536003,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,stake,2022-03-05 11:08:20,STC::STC,FAI::FAI,3094370179496
4536003,0xb9c17e73f4d6eac8c88ba0f296fe4ce5,unstake,2022-03-05 11:08:20,STC::STC,STAR::STAR,3600736869272
4536057,0x5838b8241c7f85e8d1445ff0154366c3,stake,2022-03-05 11:13:01,STC::STC,FAI::FAI,2304319924234
4536067,0xe6518350bdca03bf8bf463b76936981b,stake,2022-03-05 11:13:38,STC::STC,STAR::STAR,57256213808
4536091,0x4d676da54966d8f7c6c976df744c7472,stake,2022-03-05 11:15:41,STC::STC,STAR::STAR,2521717171920
4536100,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,harvest,2022-03-05 11:16:15,STC::STC,FAI::FAI,98586626
4536100,0xc0f4f25c4b2f453f52d66f23e54f8a2f,stake,2022-03-05 11:16:15,STC::STC,FAI::FAI,2304319976037
4536102,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,stake,2022-03-05 11:16:28,STC::STC,FAI::FAI,22714011192401
4536121,0xe10d2a152e9cb36e1d4d4a5edbdc39eb,stake,2022-03-05 11:17:44,STC::STC,FAI::FAI,2342281410273
4536146,0x145667af479ac518c0ed88ac7188f5bb,stake,2022-03-05 11:20:06,STC::STC,FAI::FAI,2342281410273
4536190,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,harvest,2022-03-05 11:23:32,STC::STC,STAR::STAR,266387258
4536228,0x5a5bdf7587386ed006fd17d375e54ce6,stake,2022-03-05 11:26:52,STC::STC,STAR::STAR,96569000000000
4536278,0xbb0604f4cae35139dbc4789d3fb98403,stake,2022-03-05 11:31:07,STC::STC,STAR::STAR,63817903035
4536286,0x6b1a630efa3620b1983032313e40d7bb,stake,2022-03-05 11:31:53,STC::STC,STAR::STAR,119949928005059
4536306,0x44bc6adfdc1f718ed2014699b239f035,stake,2022-03-05 11:33:29,STC::STC,STAR::STAR,2675571281941
4536317,0x5a5bdf7587386ed006fd17d375e54ce6,unstake,2022-03-05 11:34:23,STC::STC,STAR::STAR,98422000000000
4536326,0x288b1c32870b9478c2613576f28842ac,stake,2022-03-05 11:35:09,STC::STC,STAR::STAR,101357226231
4536333,0x5a5bdf7587386ed006fd17d375e54ce6,stake,2022-03-05 11:35:40,STC::STC,STAR::STAR,98422000000000
4536348,0xb1f940f2b8171c0b44dee9e2534e753f,stake,2022-03-05 11:36:51,STC::STC,STAR::STAR,130175129081
4536368,0xa86c0fdd86072f8a4a36c1eb756defec,stake,2022-03-05 11:38:34,STC::STC,STAR::STAR,1360320174692
4536419,0x49d57f18095a3efab174a2ccbc225d14,stake,2022-03-05 11:42:59,STC::STC,STAR::STAR,2027074822716
4536453,0x890c7d48c047d01dea2a06b9dd025032,harvest,2022-03-05 11:45:32,STC::STC,STAR::STAR,2533831391
4536479,0xb1f940f2b8171c0b44dee9e2534e753f,stake,2022-03-05 11:47:23,STC::STC,STAR::STAR,491242714306
4536488,0xe8c1b784696130e121fa956caff0ace0,stake,2022-03-05 11:48:04,STC::STC,STAR::STAR,10000000000
4536511,0xb1f940f2b8171c0b44dee9e2534e753f,stake,2022-03-05 11:50:38,STC::STC,STAR::STAR,7419074068062
4536565,0x5a5bdf7587386ed006fd17d375e54ce6,unstake,2022-03-05 11:55:12,STC::STC,STAR::STAR,98422000000000
4536787,0x5d2b0cd44dd24ab3c4f490dad0f1189d,harvest,2022-03-05 12:13:28,STC::STC,STAR::STAR,972235028
4536835,0x08bf0cd79c484514cca26af5277f2310,unstake,2022-03-05 12:17:54,STC::STC,FAI::FAI,1586811843556
4536839,0xbd36e5eff5b7840b4643d81db05409b0,stake,2022-03-05 12:18:02,STC::STC,STAR::STAR,9598184062
4536840,0xb87b11e72aaf8386d46052c371bb0455,stake,2022-03-05 12:18:16,STC::STC,STAR::STAR,21990493485889
4536870,0xbd36e5eff5b7840b4643d81db05409b0,stake,2022-03-05 12:21:10,STC::STC,STAR::STAR,215249795719
4536934,0xc2d50b7909392faa2a7b353675ce8ad9,harvest,2022-03-05 12:26:22,STC::STC,STAR::STAR,18338760285
4536947,0xc2d50b7909392faa2a7b353675ce8ad9,stake,2022-03-05 12:27:09,STC::STC,STAR::STAR,5388216647446
4536985,0x5d2b0cd44dd24ab3c4f490dad0f1189d,harvest,2022-03-05 12:29:59,STC::STC,STAR::STAR,102435243
4536993,0xbd36e5eff5b7840b4643d81db05409b0,harvest,2022-03-05 12:30:59,STC::STC,STAR::STAR,5635414
4536994,0x16c18267bc7066489b300ea431c08ee9,unstake,2022-03-05 12:31:14,STC::STC,FAI::FAI,32632841618
4536995,0x5d2b0cd44dd24ab3c4f490dad0f1189d,harvest,2022-03-05 12:31:18,STC::STC,FAI::FAI,963726582
4535009,0x6e9b83adaa64f901048ae4bead8a1016,stake,2022-03-05 09:44:23,STC::STC,STAR::STAR,30907123035
4535012,0xc2d50b7909392faa2a7b353675ce8ad9,stake,2022-03-05 09:44:37,STC::STC,STAR::STAR,6272130008739
4535111,0x5e3596e11c09fb16790e8310d8e3bff1,stake,2022-03-05 09:53:21,STC::STC,FAI::FAI,322212615425
4535114,0x40a23a5490466de08ee93f1babe93a9d,stake,2022-03-05 09:53:47,STC::STC,FAI::FAI,10737451021
4535138,0x8769fe40ff8c86661e1a47b88017e7c5,stake,2022-03-05 09:55:32,STC::STC,FAI::FAI,2058320834633
4535138,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,stake,2022-03-05 09:55:32,STC::STC,STAR::STAR,2384135082076
4535140,0x890c7d48c047d01dea2a06b9dd025032,stake,2022-03-05 09:55:50,STC::STC,STAR::STAR,3635692971270
4535141,0x0744f9f0867b8a47873e3a871d182fd6,stake,2022-03-05 09:55:53,STC::STC,STAR::STAR,2375342957162
4535143,0x7720c55f855810085d25a95daf1305aa,stake,2022-03-05 09:56:04,STC::STC,STAR::STAR,1033002493426
4535145,0x3b990f9b6f9e6175e9f9535f9fa28f50,stake,2022-03-05 09:56:11,STC::STC,FAI::FAI,930992863356
4535147,0x0d735c4ba0f540cbb287312f3e137596,stake,2022-03-05 09:56:24,STC::STC,FAI::FAI,324749563296
4535151,0xce4149b80c11b71bac6f3d9ee22fc952,stake,2022-03-05 09:56:41,STC::STC,STAR::STAR,5161217998621
4535151,0x40a23a5490466de08ee93f1babe93a9d,stake,2022-03-05 09:56:41,STC::STC,STAR::STAR,14484737424071
4535161,0x5e3596e11c09fb16790e8310d8e3bff1,stake,2022-03-05 09:57:24,STC::STC,FAI::FAI,5237416817609
4535162,0x4085ef7a265047f5f88045dc691349d1,stake,2022-03-05 09:57:27,STC::STC,STAR::STAR,14815303819807
4535163,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 09:57:43,STC::STC,FAI::FAI,1762479535121
4535163,0x2370df831df9220a9814f484893c97fe,stake,2022-03-05 09:57:43,STC::STC,STAR::STAR,24370540583464
4535168,0xeef563ec3e3547425f8ed3caf923c577,stake,2022-03-05 09:58:17,STC::STC,STAR::STAR,5238315464089
4535168,0x9749fb17f65fe5f5b83ded7b69436582,stake,2022-03-05 09:58:17,STC::STC,FAI::FAI,3543358837945
4535172,0x5813cb31f8b9767403cb56da42ca0ea7,stake,2022-03-05 09:58:36,STC::STC,STAR::STAR,13064754722372
4535172,0x9749fb17f65fe5f5b83ded7b69436582,stake,2022-03-05 09:58:36,STC::STC,STAR::STAR,3790659032384
4535176,0xd290d389077f6ba404520cf2a40a6f46,stake,2022-03-05 09:58:49,STC::STC,STAR::STAR,3850668236756
4535179,0x6bf40816f188ba5a49c523d579d7442b,stake,2022-03-05 09:59:11,STC::STC,STAR::STAR,3790659032384
4535180,0x5838b8241c7f85e8d1445ff0154366c3,stake,2022-03-05 09:59:27,STC::STC,STAR::STAR,3790659032384
4535191,0xc0f4f25c4b2f453f52d66f23e54f8a2f,stake,2022-03-05 10:00:07,STC::STC,STAR::STAR,3701051396602
4535194,0x40a23a5490466de08ee93f1babe93a9d,stake,2022-03-05 10:00:24,STC::STC,FAI::FAI,1085323836357
4535198,0x3b990f9b6f9e6175e9f9535f9fa28f50,stake,2022-03-05 10:00:40,STC::STC,FAI::FAI,3821000000000
4535199,0x2370df831df9220a9814f484893c97fe,stake,2022-03-05 10:00:58,STC::STC,FAI::FAI,6512006077573
4535199,0xe10d2a152e9cb36e1d4d4a5edbdc39eb,stake,2022-03-05 10:00:58,STC::STC,STAR::STAR,3691515431227
4535202,0x7720c55f855810085d25a95daf1305aa,unstake,2022-03-05 10:01:22,STC::STC,STAR::STAR,1033002493426
4535202,0x0a6fbf3d68c68a0676e5ae90f180668a,stake,2022-03-05 10:01:22,STC::STC,FAI::FAI,164684049547
4535208,0x5813cb31f8b9767403cb56da42ca0ea7,unstake,2022-03-05 10:01:39,STC::STC,STAR::STAR,13064754722372
4535212,0xc664acb6f912d8d2e4e19a965e385c63,stake,2022-03-05 10:01:56,STC::STC,FAI::FAI,15698705684696
4535212,0x145667af479ac518c0ed88ac7188f5bb,stake,2022-03-05 10:01:56,STC::STC,STAR::STAR,3554935834538
4535219,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 10:02:39,STC::STC,STAR::STAR,30688505052562
4535227,0x40a23a5490466de08ee93f1babe93a9d,unstake,2022-03-05 10:03:18,STC::STC,STAR::STAR,14484737424071
4535228,0xe04f76149478e91c2f87a8fc71395de2,stake,2022-03-05 10:03:27,STC::STC,STAR::STAR,20000000000
4535228,0xe8983a9f192f1777f0d0bae1d1deb0e3,stake,2022-03-05 10:03:27,STC::STC,STAR::STAR,1268200885665
4535233,0x8769fe40ff8c86661e1a47b88017e7c5,stake,2022-03-05 10:03:47,STC::STC,FAI::FAI,2197818795860
4535241,0x0744f9f0867b8a47873e3a871d182fd6,unstake,2022-03-05 10:04:30,STC::STC,STAR::STAR,2375342957162
4535247,0x0a6fbf3d68c68a0676e5ae90f180668a,stake,2022-03-05 10:04:42,STC::STC,FAI::FAI,1083968486189
4535252,0x08bf0cd79c484514cca26af5277f2310,stake,2022-03-05 10:05:12,STC::STC,FAI::FAI,158745383962
4535260,0xeef563ec3e3547425f8ed3caf923c577,unstake,2022-03-05 10:05:52,STC::STC,STAR::STAR,5238315464089
4535279,0xe8983a9f192f1777f0d0bae1d1deb0e3,stake,2022-03-05 10:07:21,STC::STC,STAR::STAR,17027372253316
4535291,0xe04f76149478e91c2f87a8fc71395de2,stake,2022-03-05 10:08:29,STC::STC,FAI::FAI,18000000000
4535291,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,stake,2022-03-05 10:08:29,STC::STC,FAI::FAI,188479861414
4535296,0xe8983a9f192f1777f0d0bae1d1deb0e3,stake,2022-03-05 10:09:00,STC::STC,STAR::STAR,3023902053879
4535315,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,stake,2022-03-05 10:10:04,STC::STC,STAR::STAR,655531757208
4535316,0x08bf0cd79c484514cca26af5277f2310,stake,2022-03-05 10:10:19,STC::STC,FAI::FAI,1428066459594
4535332,0x5a5bdf7587386ed006fd17d375e54ce6,stake,2022-03-05 10:11:53,STC::STC,STAR::STAR,1800000000000
4535333,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,unstake,2022-03-05 10:12:04,STC::STC,STAR::STAR,2384135082076
4535334,0x581367e9e962ee249fbd6e9ef3e0ff99,stake,2022-03-05 10:12:18,STC::STC,STAR::STAR,3273162399159
4535335,0x40a23a5490466de08ee93f1babe93a9d,stake,2022-03-05 10:12:35,STC::STC,FAI::FAI,1005289804891
4535339,0xfaadbe019f379e850e5aceb4a68c4aaa,stake,2022-03-05 10:12:53,STC::STC,FAI::FAI,2675177166540
4535350,0x35312da024d45453b7f79d052f1b83aa,stake,2022-03-05 10:13:31,STC::STC,STAR::STAR,4256456285
4535355,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 10:13:45,STC::STC,FAI::FAI,6321501021542
4535357,0x0a6fbf3d68c68a0676e5ae90f180668a,stake,2022-03-05 10:13:56,STC::STC,STAR::STAR,42437388183
4535385,0x96e199f07e3f563629038010824537c9,stake,2022-03-05 10:15:59,STC::STC,STAR::STAR,14813358323620
4535385,0x5a5bdf7587386ed006fd17d375e54ce6,stake,2022-03-05 10:15:59,STC::STC,STAR::STAR,53000000000
