block_num,txn_hash,token_x,token_y,sender,opt,opt_time,amount_x,amount_y,real_x,real_y
4535004,0xdb9bbddb4da9f9dfa985835aa88911a18c82271e959b04a992731ef15addb463,STC::STC,STAR::STAR,0x6e9b83adaa64f901048ae4bead8a1016,add_liquidity,2022-03-05 09:43:57,9970544499 ,95892333874 ,9.970544499,95.89233387
4535092,0x081a9242b06a6254c707287885b39cdf2a499905c9fad03503d39bb30866ce01,STC::STC,FAI::FAI,0x0c357315f9351540114596324f41006e,remove_liquidity,2022-03-05 09:51:35,-1926249559999 ,-199999999919 ,-1926.24956,-199.9999999
4535105,0x796e0703882bd795fc0545e6252f2820de45fa627e05c15e28940a5b7cc900c9,STC::STC,FAI::FAI,0x5e3596e11c09fb16790e8310d8e3bff1,add_liquidity,2022-03-05 09:52:59,1000000000000 ,103828706354 ,1000,103.8287064
4535127,0xaf8fadcce33dc29db909e2a59de97c6f000b0262adcc3c4749fac66e00c6f7d1,STC::STC,FAI::FAI,0x8769fe40ff8c86661e1a47b88017e7c5,add_liquidity,2022-03-05 09:54:38,6388082700988 ,663266362926 ,6388.082701,663.2663629
4535135,0x1a587d7261472e60d344b59dd0da6d52a5c598e4cf4ab0cff503a05873ff6af0,STC::STC,FAI::FAI,0x3b990f9b6f9e6175e9f9535f9fa28f50,add_liquidity,2022-03-05 09:55:14,2889374341018 ,300000000000 ,2889.374341,300
4535135,0xe77108cacb8faa260dea763452251fa57942a4be70ff0350df8ec193c018d32b,STC::STC,STAR::STAR,0x890c7d48c047d01dea2a06b9dd025032,add_liquidity,2022-03-05 09:55:14,1736608330437 ,7653307884983 ,1736.60833,7653.307885
4535135,0xdf2aafdcb2f9db1f640cbd1b190334e48f1c244a08b886a3c042c327941cbdcb,STC::STC,STAR::STAR,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,add_liquidity,2022-03-05 09:55:14,1138927339554 ,5000831564257 ,1138.92734,5000.831564
4535137,0x57f8a648088e9202771bc779d59dfd3a95b3b90298ff521026b6fa8463fe26a7,STC::STC,STAR::STAR,0x0744f9f0867b8a47873e3a871d182fd6,add_liquidity,2022-03-05 09:55:30,1138605598730 ,5000000000000 ,1138.605599,5000
4535140,0x69f52bae6eb3506dcbb10ccec74ee13da1edef356e050113fdb0c9bcb62a8727,STC::STC,FAI::FAI,0x0d735c4ba0f540cbb287312f3e137596,add_liquidity,2022-03-05 09:55:50,1007873521252 ,104646203880 ,1007.873521,104.6462039
4535140,0x912e39e5849817365a6c869d7cce021e33aef8facc077a8b36ed08aceadce61b,STC::STC,STAR::STAR,0x7720c55f855810085d25a95daf1305aa,add_liquidity,2022-03-05 09:55:50,502894380547 ,2192870176454 ,502.8943805,2192.870176
4535143,0xa517fe529eee0e6907bd3eaf8e6626568c3bfaf18fa63ee0513281b86aecc63b,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 09:56:04,5469927156025 ,567935460460 ,5469.927156,567.9354605
4535146,0xc5a888fe218afaf9b92c56468228d6b9a22f7f67c898ad5c0483a380ea505ec1,STC::STC,FAI::FAI,0x5e3596e11c09fb16790e8310d8e3bff1,add_liquidity,2022-03-05 09:56:18,16254536808596 ,1687687529218 ,16254.53681,1687.687529
4535146,0x2d495d490229d070205678ea9dae4f4a8d7f2edd26df5a17aec0de5664d40077,STC::STC,STAR::STAR,0xce4149b80c11b71bac6f3d9ee22fc952,add_liquidity,2022-03-05 09:56:18,2438595011602 ,10945237351661 ,2438.595012,10945.23735
4535146,0x5f8f7feb1c1520c1ac51a91e77c491bf7152be7ac23892476700599fd2ab95e9,STC::STC,STAR::STAR,0x40a23a5490466de08ee93f1babe93a9d,add_liquidity,2022-03-05 09:56:18,6843812533425 ,30717340194754 ,6843.812533,30717.34019
4535149,0xbca821f39bb8844b0fda96bf9cfe7e1a5c44a54eb0756d97a8178a1659f617ec,STC::STC,STAR::STAR,0x4085ef7a265047f5f88045dc691349d1,add_liquidity,2022-03-05 09:56:36,7000000000000 ,31418362252485 ,7000,31418.36225
4535156,0x5eb36206facb083607d9a7bd3cf67365c4c879319df2bc61c6d77ddfbd4527a0,STC::STC,FAI::FAI,0x9749fb17f65fe5f5b83ded7b69436582,add_liquidity,2022-03-05 09:56:58,10996958741915 ,1141800000000 ,10996.95874,1141.8
4535159,0x8e83d4a1c79acc082442ac8e6b6979830e771434b0dce4548e40edb7cc6a101e,STC::STC,STAR::STAR,0x2370df831df9220a9814f484893c97fe,add_liquidity,2022-03-05 09:57:10,12108072996783 ,49203911197303 ,12108.073,49203.9112
4535160,0x96970a2a7f880d63e37eb2dd2b9a18c95a608dddd15914349bc499eca62fb10e,STC::STC,STAR::STAR,0x6bf40816f188ba5a49c523d579d7442b,add_liquidity,2022-03-05 09:57:16,1881466198774 ,7653307884983 ,1881.466199,7653.307885
4535161,0xcf5c9b2bc3d8b5aaa2bceeb63882d03a8ec4e9308b954a666ba0e8369fd49746,STC::STC,STAR::STAR,0xeef563ec3e3547425f8ed3caf923c577,add_liquidity,2022-03-05 09:57:24,2600000000000 ,10576113731897 ,2600,10576.11373
4535162,0x8bb126d90d10d47cef1642bf86bc2e644497574767ad4cd7a4ca6a3937a675a5,STC::STC,STAR::STAR,0x9749fb17f65fe5f5b83ded7b69436582,add_liquidity,2022-03-05 09:57:27,1881466198774 ,7653307884983 ,1881.466199,7653.307885
4535163,0xc5eeb53059d0858fb4ff805a5795c4db0f697aed5011daad11f54709a8433afe,STC::STC,STAR::STAR,0x5838b8241c7f85e8d1445ff0154366c3,add_liquidity,2022-03-05 09:57:43,1881466198774 ,7653307884983 ,1881.466199,7653.307885
4535167,0x7ed0cf5479d7757996be4d06d499e1c1dc9e00fa765672ffe54b5c8563adbd71,STC::STC,STAR::STAR,0x5813cb31f8b9767403cb56da42ca0ea7,add_liquidity,2022-03-05 09:58:08,6616620644161 ,25945730270247 ,6616.620644,25945.73027
4535168,0x4df9b04afd567cdddff5e150e274df0e6489fb8aedfe5f19200e5167d4071af6,STC::STC,STAR::STAR,0xd290d389077f6ba404520cf2a40a6f46,add_liquidity,2022-03-05 09:58:17,1944723142138 ,7653307884983 ,1944.723142,7653.307885
4535184,0xed479d793efccde7b5f3f7dd2f9e322a8ca9be366888e34c73f5caededf4b241,STC::STC,STAR::STAR,0xc0f4f25c4b2f453f52d66f23e54f8a2f,add_liquidity,2022-03-05 09:59:36,1796464473448 ,7653307884983 ,1796.464473,7653.307885
4535188,0x0ef9cdf12a41034eafab7a79068a4f132e41474f29e2cceb9cad2a190dad3c99,STC::STC,FAI::FAI,0x40a23a5490466de08ee93f1babe93a9d,add_liquidity,2022-03-05 09:59:48,3408084980417 ,345663319382 ,3408.08498,345.6633194
4535191,0xebbba32b717d85d109d5a8a717ecf4a4a1769898df3d0c55ed581e8cdb3f1283,STC::STC,FAI::FAI,0x3b990f9b6f9e6175e9f9535f9fa28f50,add_liquidity,2022-03-05 10:00:07,12000000000000 ,1217094015089 ,12000,1217.094015
4535193,0xc8a4112a217c9e95a3f060a3afe2edb9074c5da77fb237cfeedccc225bcc3e4a,STC::STC,STAR::STAR,0xe10d2a152e9cb36e1d4d4a5edbdc39eb,add_liquidity,2022-03-05 10:00:17,1784675797458 ,7653307884983 ,1784.675797,7653.307885
4535196,0x042df36a3e96a744f239c4992cc31be35cef3a7956e1b02aa7a0393e077b9192,STC::STC,FAI::FAI,0x2370df831df9220a9814f484893c97fe,add_liquidity,2022-03-05 10:00:28,20448707898840 ,2074000000000 ,20448.7079,2074
4535200,0x182e436fc8962aba8d1a9e5519e3875fd3c8ec7b47448721ecbb0870e0a77b9c,STC::STC,FAI::FAI,0x0a6fbf3d68c68a0676e5ae90f180668a,add_liquidity,2022-03-05 10:01:03,517133427817 ,52450000000 ,517.1334278,52.45
4535202,0x92ea32d9154e28958c90cfce8e55f72148d8f4f28e10513e98080d291e215a63,STC::STC,FAI::FAI,0xc664acb6f912d8d2e4e19a965e385c63,add_liquidity,2022-03-05 10:01:22,49297752890166 ,5000000000000 ,49297.75289,5000
4535208,0x9d3780b9ab308ad68a2a528f1f464a5a3338a844b67b93e8d09a0a692dba6e15,STC::STC,STAR::STAR,0x145667af479ac518c0ed88ac7188f5bb,add_liquidity,2022-03-05 10:01:39,1655262149354 ,7653307884983 ,1655.262149,7653.307885
4535210,0x025f75e8facdfbaef7a9edf0031f7c94e364a789b07cb74c2979506cbf62523a,STC::STC,STAR::STAR,0x7720c55f855810085d25a95daf1305aa,remove_liquidity,2022-03-05 10:01:48,-479846781294 ,-2229231542206 ,-479.8467813,-2229.231542
4535210,0x75f43efbbd07ff18f5629efaefb726c6684030f60dc4e0ed08992a43d75d98b8,STC::STC,STAR::STAR,0x298019b7255d997a73dc933a6b8ff514,add_liquidity,2022-03-05 10:01:48,1000000000 ,4623622843 ,1,4.623622843
4535210,0x48686a623cb529ca4a416e2bea0cb965a870efb75da93674fee2e3d64102533d,STC::STC,STAR::STAR,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 10:01:48,14323433688911 ,66226155194881 ,14323.43369,66226.15519
4535213,0xa1e2f7d09d1ad55d70ba10253dafef6da34f947184fe019aa402db557e8aba33,STC::STC,STAR::STAR,0x5813cb31f8b9767403cb56da42ca0ea7,remove_liquidity,2022-03-05 10:02:05,-6052472936421 ,-28270117913701 ,-6052.472936,-28270.11791
4535219,0x20005b5d8f984e1ca62c06cec58775f83e9bfef42810a1c7f602cb969518fd7e,STC::STC,STAR::STAR,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022-03-05 10:02:39,10704718237 ,50000000000 ,10.70471824,50
4535219,0x00c47f9a1f5c91ecae705a537cc1d07e7b7e1f15108f0117678b30ec81fb0928,STC::STC,STAR::STAR,0x96e199f07e3f563629038010824537c9,add_liquidity,2022-03-05 10:02:39,5353672445506 ,24883000000000 ,5353.672446,24883
4535221,0x48452a9aa3bbcfb24b097f9db8e9cbf427763ab8f25940f3921b64b571dd65d6,STC::STC,STAR::STAR,0xe8983a9f192f1777f0d0bae1d1deb0e3,add_liquidity,2022-03-05 10:02:49,588969626269 ,2737435164300 ,588.9696263,2737.435164
