sender,asset_weight,harvest_index,actual_gain,expect_gain,remedy_gain
0x6e9b83adaa64f901048ae4bead8a1016,30907123035,8.08,8.161364881655102,244.84094644965305,236.67958156799793
0xc2d50b7909392faa2a7b353675ce8ad9,11660346656185,8.08000000000234,17.71223168042486,531.3669504127458,513.6547187323209
0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,0,8.0800000000018,0.5844403029557697,17.53320908867309,16.94876878571732
0x890c7d48c047d01dea2a06b9dd025032,3635692971270,8.080000000001581,3.8233065406811306,114.69919622043392,110.87588967975279
0x0744f9f0867b8a47873e3a871d182fd6,0,8.08000000000173,0.32067870979857105,9.620361293957131,9.29968258415856
0x7720c55f855810085d25a95daf1305aa,0,8.080000000001696,0.09725399534868373,2.917619860460512,2.820365865111828
0xce4149b80c11b71bac6f3d9ee22fc952,5161217998621,8.080000000001634,5.15250866901518,154.5752600704554,149.42275140144022
0x40a23a5490466de08ee93f1babe93a9d,0,8.080000000001718,1.1063926827771073,33.191780483313224,32.08538780053612
0x4085ef7a265047f5f88045dc691349d1,14815303819807,8.080000000001652,14.527130979994965,435.8139293998489,421.28679841985394
0x2370df831df9220a9814f484893c97fe,66895719702596,8.08000000000208,47.08637981572027,1412.5913944716083,1365.5050146558879
0xeef563ec3e3547425f8ed3caf923c577,0,8.080000000001744,0.3442893475581119,10.328680426743357,9.984391079185245
0x5813cb31f8b9767403cb56da42ca0ea7,0,8.0800000000017,0.37132266249875556,11.139679874962667,10.768357212463911
0x9749fb17f65fe5f5b83ded7b69436582,48914355019473,8.080000000001988,32.70574013333617,981.1722040000851,948.466463866749
0xd290d389077f6ba404520cf2a40a6f46,3850668236756,8.08000000000167,3.7073671853735704,111.22101556120711,107.51364837583354
0x6bf40816f188ba5a49c523d579d7442b,3790659032384,8.080000000001673,3.636124072925213,109.0837221877564,105.44759811483118
0x5838b8241c7f85e8d1445ff0154366c3,3790659032384,8.080000000001677,3.622656946729194,108.67970840187581,105.05705145514662
0xc0f4f25c4b2f453f52d66f23e54f8a2f,3701051396602,8.080000000001684,3.5107231713479834,105.3216951404395,101.81097196909153
0xe10d2a152e9cb36e1d4d4a5edbdc39eb,3691515431227,8.080000000001693,3.468890353842161,104.06671061526482,100.59782026142267
0x145667af479ac518c0ed88ac7188f5bb,3554935834538,8.080000000001704,3.302658487071451,99.07975461214352,95.77709612507206
0xbfee7b54e271648e93eb23b4e71a4f50,30688505052562,8.08000000000171,28.29262890152449,848.7788670457347,820.4862381442102
0xe04f76149478e91c2f87a8fc71395de2,20000000000,8.08000000000172,0.018260948309034575,0.5478284492710372,0.5295675009620027
0xe8983a9f192f1777f0d0bae1d1deb0e3,21319475192860,8.080000000001773,18.361100738928027,550.8330221678408,532.4719214289127
0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,655531757208,8.080000000001782,0.5577755354526772,16.733266063580317,16.17549052812764
0x5a5bdf7587386ed006fd17d375e54ce6,0,8.080000000002252,5.891632071097774,176.74896213293323,170.85733006183546
0x581367e9e962ee249fbd6e9ef3e0ff99,3273162399159,8.080000000001801,2.721094465852069,81.63283397556206,78.91173950971
0x35312da024d45453b7f79d052f1b83aa,236574017376,8.08000000000187,0.18052485738348878,5.415745721504663,5.235220864121175
0x0a6fbf3d68c68a0676e5ae90f180668a,0,8.080000000002377,0.023595174705233646,0.7078552411570094,0.6842600664517757
0x96e199f07e3f563629038010824537c9,14813358323620,8.080000000001831,11.867528478064706,356.02585434194117,344.1583258638765
0x5d2b0cd44dd24ab3c4f490dad0f1189d,2335620829790,8.0800000000019,1.7920164965726215,53.760494897178646,51.968478400606024
0x535e864450f140b6ba4cebefc0827243,414523357180,8.080000000001853,0.32325387487123436,9.69761624613703,9.374362371265796
0xf77d889d6677bf38f23b5584c69d1c3f,742426624314,8.080000000001869,0.5670902830967961,17.012708492903883,16.445618209807087
0x26cceafbe90efbe454531e1bbda56989,31519531648172,8.080000000001885,23.571762895145575,707.1528868543672,683.5811239592217
0x04335f23862c189069639a1bfe651399,0,8.080000000001975,0.03724527228222918,1.1173581684668754,1.0801128961846462
0xa44004308188a371af871c32d3c93188,50512912999,8.080000000001943,0.034814835891715745,1.0444450767514724,1.0096302408597566
0xe34fdec2d1dfc69064bb203b129818a3,10564980061022,8.080000000002023,6.437140884206631,193.11422652619893,186.6770856419923
0xb9c17e73f4d6eac8c88ba0f296fe4ce5,0,8.080000000002117,0.24305535545525458,7.2916606636576375,7.048605308202383
0xb01a3b6cd6a2beb1de4198e9c3f38ab4,1727522286912,8.08000000000205,1.0065322976997777,30.19596893099333,29.189436633293553
0xd4aebcce7cbac2c6823c073e4aaa5450,482901546817,8.080000000002055,0.2787867762697349,8.363603288092047,8.084816511822313
0x4d676da54966d8f7c6c976df744c7472,2720248243641,8.080000000002148,1.3325730763103234,39.977192289309706,38.64461921299939
0x236e3246c470de88dcf2657579d0ad60,6654596269576,8.080000000002094,3.5817440918633423,107.45232275590027,103.87057866403693
0xe6518350bdca03bf8bf463b76936981b,57256213808,8.080000000002139,0.028274675824889073,0.8482402747466722,0.8199655989217831
0xbb0604f4cae35139dbc4789d3fb98403,63817903035,8.080000000002194,0.02800075202750385,0.8400225608251155,0.8120218087976117
0x6b1a630efa3620b1983032313e40d7bb,119949928005059,8.080000000002196,52.41617324934913,1572.4851974804737,1520.0690242311246
0x44bc6adfdc1f718ed2014699b239f035,2675571281941,8.0800000000022,1.159675720418825,34.79027161256475,33.63059589214593
